,image_path,target
0,data/train/1/00001.jpg,0
1,data/train/1/00002.jpg,0
2,data/train/1/00003.jpg,0
3,data/train/1/00004.jpg,0
4,data/train/1/00005.jpg,0
5,data/train/1/00006.jpg,0
6,data/train/1/00007.jpg,0
7,data/train/1/00008.jpg,0
8,data/train/1/00009.jpg,0
9,data/train/1/00010.jpg,0
10,data/train/1/00011.jpg,0
11,data/train/1/00012.jpg,0
12,data/train/1/00013.jpg,0
13,data/train/1/00014.jpg,0
14,data/train/1/00015.jpg,0
15,data/train/1/00016.jpg,0
16,data/train/1/00017.jpg,0
17,data/train/1/00018.jpg,0
18,data/train/1/00019.jpg,0
19,data/train/1/00020.jpg,0
20,data/train/1/00021.jpg,0
21,data/train/1/00022.jpg,0
22,data/train/1/00023.jpg,0
23,data/train/1/00024.jpg,0
24,data/train/1/00025.jpg,0
25,data/train/1/00026.jpg,0
26,data/train/1/00027.jpg,0
27,data/train/1/00028.jpg,0
28,data/train/1/00029.jpg,0
29,data/train/1/00030.jpg,0
30,data/train/1/00031.jpg,0
31,data/train/1/00032.jpg,0
32,data/train/1/00033.jpg,0
33,data/train/1/00034.jpg,0
34,data/train/1/00035.jpg,0
35,data/train/1/00036.jpg,0
36,data/train/1/00037.jpg,0
37,data/train/1/00038.jpg,0
38,data/train/1/00039.jpg,0
39,data/train/1/00040.jpg,0
40,data/train/1/00041.jpg,0
41,data/train/1/00042.jpg,0
42,data/train/1/00043.jpg,0
43,data/train/1/00044.jpg,0
44,data/train/1/00045.jpg,0
45,data/train/1/00046.jpg,0
46,data/train/1/00047.jpg,0
47,data/train/1/00048.jpg,0
48,data/train/1/00049.jpg,0
49,data/train/1/00050.jpg,0
50,data/train/1/00051.jpg,0
51,data/train/1/00052.jpg,0
52,data/train/1/00053.jpg,0
53,data/train/1/00054.jpg,0
54,data/train/1/00055.jpg,0
55,data/train/1/00056.jpg,0
56,data/train/1/00057.jpg,0
57,data/train/1/00058.jpg,0
58,data/train/1/00059.jpg,0
59,data/train/1/00060.jpg,0
60,data/train/1/00061.jpg,0
61,data/train/1/00062.jpg,0
62,data/train/1/00063.jpg,0
63,data/train/1/00064.jpg,0
64,data/train/1/00065.jpg,0
65,data/train/1/00066.jpg,0
66,data/train/1/00067.jpg,0
67,data/train/1/00068.jpg,0
68,data/train/1/00069.jpg,0
69,data/train/1/00070.jpg,0
